anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
cPbriGMj7J,26365,move green A2,7,move,12,0,"(79, 94)",1
cPbriGMj7J,26365,move green A2,7,move,12,1,"(97, 76)",1
cPbriGMj7J,26365,move green A2,7,move,12,2,"(65, 54)",1
cPbriGMj7J,26365,move green A2,7,move,12,3,"(83, 57)",1
cPbriGMj7J,26365,move green A2,7,move,12,4,"(99, 58)",1
cPbriGMj7J,26365,move green A2,7,move,12,5,"(100, 59)",1
cPbriGMj7J,26365,move green A2,7,move,12,6,"(101, 39)",1
cPbriGMj7J,26365,move green A2,7,move,12,7,"(102, 40)",1
cPbriGMj7J,26365,move green A2,7,move,12,8,"(67, 102)",1
cPbriGMj7J,26365,move green A2,7,move,12,9,"(85, 101)",1
cPbriGMj7J,26365,move green A2,7,move,12,10,"(103, 41)",1
cPbriGMj7J,26365,move green A2,7,move,12,11,"(104, 21)",1
cPbriGMj7J,26365,move red B2,8,move,13,0,"(80, 81)",1
cPbriGMj7J,26365,move red B2,8,move,13,1,"(67, 82)",1
cPbriGMj7J,26365,move red B2,8,move,13,2,"(85, 63)",1
cPbriGMj7J,26365,move red B2,8,move,13,3,"(78, 64)",1
cPbriGMj7J,26365,move red B2,8,move,13,4,"(96, 45)",1
cPbriGMj7J,26365,move red B2,8,move,13,5,"(77, 94)",1
cPbriGMj7J,26365,move red B2,8,move,13,6,"(95, 46)",1
cPbriGMj7J,26365,move red B2,8,move,13,7,"(74, 95)",1
cPbriGMj7J,26365,move red B2,8,move,13,8,"(92, 47)",1
cPbriGMj7J,26365,move red B2,8,move,13,9,"(105, 27)",1
cPbriGMj7J,26365,move red B2,8,move,13,10,"(107, 28)",1
cPbriGMj7J,26365,move red B2,8,move,13,11,"(88, 105)",1
cPbriGMj7J,26365,move red B2,8,move,13,12,"(106, 29)",1
cPbriGMj7J,26365,uncover green all,9,uncover,5,0,"(79, 54)",1
cPbriGMj7J,26365,uncover green all,9,uncover,5,1,"(65, 94)",1
cPbriGMj7J,26365,uncover green all,9,uncover,5,2,"(83, 76)",1
cPbriGMj7J,26365,uncover green all,9,uncover,5,3,"(67, 87)",1
cPbriGMj7J,26365,uncover green all,9,uncover,5,4,"(85, 89)",1
cPbriGMj7J,26365,uncover red all,10,uncover,5,0,"(74, 94)",1
cPbriGMj7J,26365,uncover red all,10,uncover,5,1,"(77, 54)",1
cPbriGMj7J,26365,uncover red all,10,uncover,5,2,"(78, 36)",1
cPbriGMj7J,26365,uncover red all,10,uncover,5,3,"(67, 55)",1
cPbriGMj7J,26365,uncover red all,10,uncover,5,4,"(88, 76)",1
eaQPMu21DT,26316,clear nocolor B1,1,clear,4,0,"(79, 92)",1
eaQPMu21DT,26316,clear nocolor B1,1,clear,4,1,"(97, 74)",1
eaQPMu21DT,26316,clear nocolor B1,1,clear,4,2,"(96, 54)",1
eaQPMu21DT,26316,clear nocolor B1,1,clear,4,3,"(98, 55)",1
